task,noise,method,budget,seed,affected
tfim,ideal,rem,6000,2,False
tfim,ideal,rem,6000,3,False
tfim,ideal,rem,6000,4,False
tfim,ideal,rem,6000,5,False
tfim,ideal,rem,6000,6,False
tfim,ideal,rem,6000,7,False
tfim,ideal,rem,12000,2,False
tfim,ideal,rem,12000,3,False
tfim,ideal,rem,12000,4,False
tfim,ideal,rem,12000,5,False
tfim,ideal,rem,12000,6,False
tfim,ideal,rem,12000,7,False
tfim,ideal,rem,12000,8,False
tfim,ideal,rem,12000,9,False
tfim,ideal,rem,6000,8,False
tfim,ideal,rem,6000,9,False
tfim,ideal,rem,12000,0,False
tfim,ideal,rem,12000,1,False
tfim,ideal,rem,24000,0,False
tfim,ideal,rem,24000,1,False
tfim,ideal,rem,24000,2,False
tfim,ideal,rem,24000,3,False
tfim,ideal,rem,24000,4,False
tfim,ideal,rem,24000,5,False
tfim,ideal,rem,24000,6,False
tfim,ideal,rem,24000,7,False
tfim,ideal,rem,24000,8,False
tfim,ideal,rem,24000,9,False
tfim,ideal,zne_rem,1500,0,False
tfim,ideal,zne_rem,1500,1,False
tfim,ideal,zne_rem,1500,2,False
tfim,ideal,zne_rem,1500,3,False
tfim,ideal,zne_rem,1500,4,False
tfim,ideal,zne_rem,1500,5,False
tfim,ideal,zne_rem,1500,6,False
tfim,ideal,zne_rem,1500,7,False
tfim,ideal,zne_rem,1500,8,False
tfim,ideal,zne_rem,1500,9,False
tfim,ideal,zne_rem,3000,0,False
tfim,ideal,zne_rem,3000,1,False
tfim,ideal,zne_rem,3000,2,False
tfim,ideal,zne_rem,3000,3,False
tfim,ideal,zne_rem,3000,4,False
tfim,ideal,zne_rem,3000,5,False
tfim,ideal,zne_rem,3000,6,False
tfim,ideal,zne_rem,3000,7,False
tfim,ideal,zne_rem,3000,8,False
tfim,ideal,zne_rem,3000,9,False
tfim,ideal,zne_rem,6000,0,False
tfim,ideal,zne_rem,6000,1,False
tfim,ideal,zne_rem,6000,2,False
tfim,ideal,zne_rem,6000,3,False
tfim,ideal,zne_rem,6000,4,False
tfim,ideal,zne_rem,6000,5,False
tfim,ideal,zne_rem,6000,6,False
tfim,ideal,zne_rem,6000,7,False
tfim,ideal,zne_rem,6000,8,False
tfim,ideal,zne_rem,6000,9,False
tfim,ideal,zne_rem,12000,0,False
tfim,ideal,zne_rem,12000,1,False
tfim,ideal,zne_rem,12000,2,False
tfim,ideal,zne_rem,12000,3,False
tfim,ideal,zne_rem,12000,4,False
tfim,ideal,zne_rem,12000,5,False
tfim,ideal,zne_rem,12000,6,False
tfim,ideal,zne_rem,12000,7,False
tfim,ideal,zne_rem,12000,8,False
tfim,ideal,zne_rem,12000,9,False
tfim,ideal,zne_rem,24000,0,False
tfim,ideal,zne_rem,24000,1,False
tfim,ideal,zne_rem,24000,6,False
tfim,ideal,zne_rem,24000,7,False
tfim,ideal,zne_rem,24000,8,False
tfim,ideal,zne_rem,24000,9,False
tfim,ideal,zne_rem,24000,2,False
tfim,ideal,zne_rem,24000,3,False
tfim,ideal,zne_rem,24000,4,False
tfim,ideal,zne_rem,24000,5,False
tfim,dev_lagos,none,1500,0,False
tfim,dev_lagos,none,1500,1,False
tfim,dev_lagos,none,1500,2,False
tfim,dev_lagos,none,1500,3,False
tfim,dev_lagos,none,1500,4,False
tfim,dev_lagos,none,1500,5,False
tfim,dev_lagos,none,1500,6,False
tfim,dev_lagos,none,1500,7,False
tfim,dev_lagos,none,1500,8,False
tfim,dev_lagos,none,1500,9,False
tfim,dev_lagos,none,3000,0,False
tfim,dev_lagos,none,3000,1,False
tfim,dev_lagos,none,3000,2,False
tfim,dev_lagos,none,3000,3,False
tfim,dev_lagos,none,3000,4,False
tfim,dev_lagos,none,3000,5,False
tfim,dev_lagos,none,3000,6,False
tfim,dev_lagos,none,3000,7,False
tfim,dev_lagos,none,3000,8,False
tfim,dev_lagos,none,3000,9,False
tfim,dev_lagos,none,6000,0,False
tfim,dev_lagos,none,6000,1,False
tfim,dev_lagos,none,6000,2,False
tfim,dev_lagos,none,6000,3,False
tfim,dev_lagos,none,6000,4,False
tfim,dev_lagos,none,6000,5,False
tfim,dev_lagos,none,6000,6,False
tfim,dev_lagos,none,6000,7,False
tfim,dev_lagos,none,6000,8,False
tfim,dev_lagos,none,6000,9,False
tfim,dev_lagos,none,12000,0,False
tfim,dev_lagos,none,12000,1,False
tfim,dev_lagos,none,12000,2,False
tfim,dev_lagos,none,12000,3,False
tfim,dev_lagos,none,12000,4,False
tfim,dev_lagos,none,12000,5,False
tfim,dev_lagos,none,12000,6,False
tfim,dev_lagos,none,12000,7,False
tfim,dev_lagos,none,12000,8,False
tfim,dev_lagos,none,12000,9,False
tfim,dev_lagos,none,24000,0,False
tfim,dev_lagos,none,24000,1,False
tfim,dev_lagos,none,24000,2,False
tfim,dev_lagos,none,24000,3,False
tfim,dev_lagos,none,24000,4,False
tfim,dev_lagos,none,24000,5,False
tfim,dev_lagos,none,24000,6,False
tfim,dev_lagos,none,24000,7,False
tfim,dev_lagos,none,24000,8,False
tfim,dev_lagos,none,24000,9,False
tfim,dev_lagos,zne,1500,0,True
tfim,dev_lagos,zne,1500,1,True
tfim,dev_lagos,zne,1500,6,True
tfim,dev_lagos,zne,1500,7,True
tfim,dev_lagos,zne,1500,8,True
tfim,dev_lagos,zne,1500,9,True
tfim,dev_lagos,zne,1500,2,True
tfim,dev_lagos,zne,1500,3,True
tfim,dev_lagos,zne,1500,4,True
tfim,dev_lagos,zne,1500,5,True
tfim,dev_lagos,zne,3000,0,True
tfim,dev_lagos,zne,3000,1,True
tfim,dev_lagos,zne,3000,2,True
tfim,dev_lagos,zne,3000,3,True
tfim,dev_lagos,zne,3000,4,True
tfim,dev_lagos,zne,3000,5,True
tfim,dev_lagos,zne,3000,6,True
tfim,dev_lagos,zne,3000,7,True
tfim,dev_lagos,zne,3000,8,True
tfim,dev_lagos,zne,3000,9,True
tfim,dev_lagos,zne,6000,0,True
tfim,dev_lagos,zne,6000,1,True
tfim,dev_lagos,zne,6000,6,True
tfim,dev_lagos,zne,6000,7,True
tfim,dev_lagos,zne,6000,8,True
tfim,dev_lagos,zne,6000,9,True
tfim,dev_lagos,zne,6000,2,True
tfim,dev_lagos,zne,6000,3,True
tfim,dev_lagos,zne,6000,4,True
tfim,dev_lagos,zne,6000,5,True
tfim,dev_lagos,zne,12000,0,True
tfim,dev_lagos,zne,12000,1,True
tfim,dev_lagos,zne,12000,2,True
tfim,dev_lagos,zne,12000,3,True
tfim,dev_lagos,zne,12000,4,True
tfim,dev_lagos,zne,12000,5,True
tfim,dev_lagos,zne,12000,6,True
tfim,dev_lagos,zne,12000,7,True
tfim,dev_lagos,zne,12000,8,True
tfim,dev_lagos,zne,12000,9,True
tfim,dev_lagos,zne,24000,0,True
tfim,dev_lagos,zne,24000,1,True
tfim,dev_lagos,zne,24000,2,True
tfim,dev_lagos,zne,24000,3,True
tfim,dev_lagos,zne,24000,4,True
tfim,dev_lagos,zne,24000,5,True
tfim,dev_lagos,rem,1500,0,True
tfim,dev_lagos,rem,1500,1,True
tfim,dev_lagos,rem,1500,2,True
tfim,dev_lagos,rem,1500,3,True
tfim,dev_lagos,rem,1500,8,True
tfim,dev_lagos,rem,1500,9,True
tfim,dev_lagos,rem,3000,0,True
tfim,dev_lagos,rem,3000,1,True
tfim,dev_lagos,rem,1500,4,True
tfim,dev_lagos,rem,1500,5,True
tfim,dev_lagos,rem,1500,6,True
tfim,dev_lagos,rem,1500,7,True
tfim,dev_lagos,zne,24000,6,True
tfim,dev_lagos,zne,24000,7,True
tfim,dev_lagos,zne,24000,8,True
tfim,dev_lagos,zne,24000,9,True
tfim,dev_lagos,rem,3000,2,True
tfim,dev_lagos,rem,3000,3,True
tfim,dev_lagos,rem,3000,4,True
tfim,dev_lagos,rem,3000,5,True
tfim,dev_lagos,rem,3000,6,True
tfim,dev_lagos,rem,3000,7,True
tfim,dev_lagos,rem,3000,8,True
tfim,dev_lagos,rem,3000,9,True
tfim,dev_lagos,rem,6000,0,True
tfim,dev_lagos,rem,6000,1,True
tfim,dev_lagos,rem,6000,2,True
tfim,dev_lagos,rem,6000,3,True
tfim,dev_lagos,rem,6000,4,True
tfim,dev_lagos,rem,6000,5,True
tfim,dev_lagos,rem,6000,6,True
tfim,dev_lagos,rem,6000,7,True
tfim,dev_lagos,rem,6000,8,True
tfim,dev_lagos,rem,6000,9,True
tfim,dev_lagos,rem,12000,0,True
tfim,dev_lagos,rem,12000,1,True
tfim,dev_lagos,rem,12000,2,True
tfim,dev_lagos,rem,12000,3,True
tfim,dev_lagos,rem,12000,4,True
tfim,dev_lagos,rem,12000,5,True
tfim,dev_lagos,rem,12000,6,True
tfim,dev_lagos,rem,12000,7,True
tfim,dev_lagos,rem,12000,8,True
tfim,dev_lagos,rem,12000,9,True
tfim,dev_lagos,rem,24000,0,True
tfim,dev_lagos,rem,24000,1,True
tfim,dev_lagos,rem,24000,2,True
tfim,dev_lagos,rem,24000,3,True
tfim,dev_lagos,rem,24000,4,True
tfim,dev_lagos,rem,24000,5,True
tfim,dev_lagos,rem,24000,6,True
tfim,dev_lagos,rem,24000,7,True
tfim,dev_lagos,rem,24000,8,True
tfim,dev_lagos,rem,24000,9,True
tfim,dev_lagos,zne_rem,1500,0,True
tfim,dev_lagos,zne_rem,1500,1,True
tfim,dev_lagos,zne_rem,1500,6,True
tfim,dev_lagos,zne_rem,1500,7,True
tfim,dev_lagos,zne_rem,1500,8,True
tfim,dev_lagos,zne_rem,1500,9,True
tfim,dev_lagos,zne_rem,1500,2,True
tfim,dev_lagos,zne_rem,1500,3,True
tfim,dev_lagos,zne_rem,1500,4,True
tfim,dev_lagos,zne_rem,1500,5,True
tfim,dev_lagos,zne_rem,3000,0,True
tfim,dev_lagos,zne_rem,3000,1,True
tfim,dev_lagos,zne_rem,3000,2,True
tfim,dev_lagos,zne_rem,3000,3,True
tfim,dev_lagos,zne_rem,3000,4,True
tfim,dev_lagos,zne_rem,3000,5,True
tfim,dev_lagos,zne_rem,3000,6,True
tfim,dev_lagos,zne_rem,3000,7,True
tfim,dev_lagos,zne_rem,6000,2,True
tfim,dev_lagos,zne_rem,6000,3,True
tfim,dev_lagos,zne_rem,6000,4,True
tfim,dev_lagos,zne_rem,6000,5,True
tfim,dev_lagos,zne_rem,3000,8,True
tfim,dev_lagos,zne_rem,3000,9,True
tfim,dev_lagos,zne_rem,6000,0,True
tfim,dev_lagos,zne_rem,6000,1,True
tfim,dev_lagos,zne_rem,6000,6,True
tfim,dev_lagos,zne_rem,6000,7,True
tfim,dev_lagos,zne_rem,6000,8,True
tfim,dev_lagos,zne_rem,6000,9,True
tfim,dev_lagos,zne_rem,12000,0,True
tfim,dev_lagos,zne_rem,12000,1,True
tfim,dev_lagos,zne_rem,12000,2,True
tfim,dev_lagos,zne_rem,12000,3,True
tfim,dev_lagos,zne_rem,12000,4,True
tfim,dev_lagos,zne_rem,12000,5,True
tfim,dev_lagos,zne_rem,12000,6,True
tfim,dev_lagos,zne_rem,12000,7,True
tfim,dev_lagos,zne_rem,12000,8,True
tfim,dev_lagos,zne_rem,12000,9,True
tfim,dev_lagos,zne_rem,24000,0,True
tfim,dev_lagos,zne_rem,24000,1,True
tfim,dev_lagos,zne_rem,24000,2,True
tfim,dev_lagos,zne_rem,24000,3,True
tfim,dev_lagos,zne_rem,24000,4,True
tfim,dev_lagos,zne_rem,24000,5,True
tfim,dev_lagos,zne_rem,24000,6,True
tfim,dev_lagos,zne_rem,24000,7,True
tfim,dev_lagos,zne_rem,24000,8,True
tfim,dev_lagos,zne_rem,24000,9,True
tfim,dev_algiers,none,1500,0,False
tfim,dev_algiers,none,1500,1,False
tfim,dev_algiers,none,1500,2,False
tfim,dev_algiers,none,1500,3,False
tfim,dev_algiers,none,1500,4,False
tfim,dev_algiers,none,1500,5,False
tfim,dev_algiers,none,1500,6,False
tfim,dev_algiers,none,1500,7,False
tfim,dev_algiers,none,1500,8,False
tfim,dev_algiers,none,1500,9,False
tfim,dev_algiers,none,3000,0,False
tfim,dev_algiers,none,3000,1,False
tfim,dev_algiers,none,3000,2,False
tfim,dev_algiers,none,3000,3,False
tfim,dev_algiers,none,3000,4,False
tfim,dev_algiers,none,3000,5,False
tfim,dev_algiers,none,3000,6,False
tfim,dev_algiers,none,3000,7,False
tfim,dev_algiers,none,3000,8,False
tfim,dev_algiers,none,3000,9,False
tfim,dev_algiers,none,6000,0,False
tfim,dev_algiers,none,6000,1,False
tfim,dev_algiers,none,6000,2,False
tfim,dev_algiers,none,6000,3,False
tfim,dev_algiers,none,6000,4,False
tfim,dev_algiers,none,6000,5,False
tfim,dev_algiers,none,6000,6,False
tfim,dev_algiers,none,6000,7,False
tfim,dev_algiers,none,6000,8,False
tfim,dev_algiers,none,6000,9,False
tfim,dev_algiers,none,12000,0,False
tfim,dev_algiers,none,12000,1,False
tfim,dev_algiers,none,12000,2,False
tfim,dev_algiers,none,12000,3,False
tfim,dev_algiers,none,12000,4,False
tfim,dev_algiers,none,12000,5,False
tfim,dev_algiers,none,12000,6,False
tfim,dev_algiers,none,12000,7,False
tfim,dev_algiers,none,12000,8,False
tfim,dev_algiers,none,12000,9,False
tfim,dev_algiers,none,24000,0,False
tfim,dev_algiers,none,24000,1,False
tfim,dev_algiers,none,24000,2,False
tfim,dev_algiers,none,24000,3,False
tfim,dev_algiers,none,24000,4,False
tfim,dev_algiers,none,24000,5,False
tfim,dev_algiers,none,24000,6,False
tfim,dev_algiers,none,24000,7,False
tfim,dev_algiers,none,24000,8,False
tfim,dev_algiers,none,24000,9,False
tfim,dev_algiers,zne,1500,0,False
tfim,dev_algiers,zne,1500,1,False
tfim,dev_algiers,zne,1500,2,False
tfim,dev_algiers,zne,1500,3,False
tfim,dev_algiers,zne,1500,4,False
tfim,dev_algiers,zne,1500,5,False
tfim,dev_algiers,zne,1500,6,False
tfim,dev_algiers,zne,1500,7,False
tfim,dev_algiers,zne,1500,8,False
tfim,dev_algiers,zne,1500,9,False
tfim,dev_algiers,zne,3000,0,False
tfim,dev_algiers,zne,3000,1,False
tfim,dev_algiers,zne,3000,2,False
tfim,dev_algiers,zne,3000,3,False
tfim,dev_algiers,zne,3000,4,False
tfim,dev_algiers,zne,3000,5,False
tfim,dev_algiers,zne,3000,6,False
tfim,dev_algiers,zne,3000,7,False
tfim,dev_algiers,zne,3000,8,False
tfim,dev_algiers,zne,3000,9,False
tfim,dev_algiers,zne,6000,0,False
tfim,dev_algiers,zne,6000,1,False
tfim,dev_algiers,zne,6000,2,False
tfim,dev_algiers,zne,6000,3,False
tfim,dev_algiers,zne,6000,4,False
tfim,dev_algiers,zne,6000,5,False
tfim,dev_algiers,zne,6000,6,False
tfim,dev_algiers,zne,6000,7,False
tfim,dev_algiers,zne,6000,8,False
tfim,dev_algiers,zne,6000,9,False
tfim,dev_algiers,zne,12000,0,False
tfim,dev_algiers,zne,12000,1,False
tfim,dev_algiers,zne,12000,2,False
tfim,dev_algiers,zne,12000,3,False
tfim,dev_algiers,zne,12000,4,False
tfim,dev_algiers,zne,12000,5,False
tfim,dev_algiers,zne,12000,6,False
tfim,dev_algiers,zne,12000,7,False
tfim,dev_algiers,zne,12000,8,False
tfim,dev_algiers,zne,12000,9,False
tfim,dev_algiers,zne,24000,0,False
tfim,dev_algiers,zne,24000,1,False
tfim,dev_algiers,zne,24000,2,False
tfim,dev_algiers,zne,24000,3,False
tfim,dev_algiers,zne,24000,4,False
tfim,dev_algiers,zne,24000,5,False
tfim,dev_algiers,rem,1500,0,False
tfim,dev_algiers,rem,1500,1,False
tfim,dev_algiers,rem,1500,2,False
tfim,dev_algiers,rem,1500,3,False
tfim,dev_algiers,zne,24000,6,False
tfim,dev_algiers,zne,24000,7,False
tfim,dev_algiers,zne,24000,8,False
tfim,dev_algiers,zne,24000,9,False
tfim,dev_algiers,rem,1500,4,False
tfim,dev_algiers,rem,1500,5,False
tfim,dev_algiers,rem,1500,6,False
tfim,dev_algiers,rem,1500,7,False
tfim,dev_algiers,rem,1500,8,False
tfim,dev_algiers,rem,1500,9,False
tfim,dev_algiers,rem,3000,0,False
tfim,dev_algiers,rem,3000,1,False
tfim,dev_algiers,rem,3000,2,False
tfim,dev_algiers,rem,3000,3,False
tfim,dev_algiers,rem,3000,4,False
tfim,dev_algiers,rem,3000,5,False
tfim,dev_algiers,rem,3000,6,False
tfim,dev_algiers,rem,3000,7,False
tfim,dev_algiers,rem,3000,8,False
tfim,dev_algiers,rem,3000,9,False
tfim,dev_algiers,rem,6000,0,False
tfim,dev_algiers,rem,6000,1,False
tfim,dev_algiers,rem,6000,2,False
tfim,dev_algiers,rem,6000,3,False
tfim,dev_algiers,rem,6000,4,False
tfim,dev_algiers,rem,6000,5,False
tfim,dev_algiers,rem,6000,6,False
tfim,dev_algiers,rem,6000,7,False
tfim,dev_algiers,rem,6000,8,False
tfim,dev_algiers,rem,6000,9,False
tfim,dev_algiers,rem,12000,0,False
tfim,dev_algiers,rem,12000,1,False
tfim,dev_algiers,rem,12000,2,False
tfim,dev_algiers,rem,12000,3,False
tfim,dev_algiers,rem,12000,4,False
tfim,dev_algiers,rem,12000,5,False
tfim,dev_algiers,rem,12000,6,False
tfim,dev_algiers,rem,12000,7,False
tfim,dev_algiers,rem,12000,8,False
tfim,dev_algiers,rem,12000,9,False
tfim,dev_algiers,rem,24000,0,False
tfim,dev_algiers,rem,24000,1,False
tfim,dev_algiers,rem,24000,2,False
tfim,dev_algiers,rem,24000,3,False
tfim,dev_algiers,rem,24000,4,False
tfim,dev_algiers,rem,24000,5,False
tfim,dev_algiers,rem,24000,6,False
tfim,dev_algiers,rem,24000,7,False
tfim,dev_algiers,rem,24000,8,False
tfim,dev_algiers,rem,24000,9,False
tfim,dev_algiers,zne_rem,1500,0,False
tfim,dev_algiers,zne_rem,1500,1,False
tfim,dev_algiers,zne_rem,1500,2,False
tfim,dev_algiers,zne_rem,1500,3,False
tfim,dev_algiers,zne_rem,1500,4,False
tfim,dev_algiers,zne_rem,1500,5,False
tfim,dev_algiers,zne_rem,1500,6,False
tfim,dev_algiers,zne_rem,1500,7,False
tfim,dev_algiers,zne_rem,1500,8,False
tfim,dev_algiers,zne_rem,1500,9,False
tfim,dev_algiers,zne_rem,3000,0,False
tfim,dev_algiers,zne_rem,3000,1,False
tfim,dev_algiers,zne_rem,3000,2,False
tfim,dev_algiers,zne_rem,3000,3,False
tfim,dev_algiers,zne_rem,3000,4,False
tfim,dev_algiers,zne_rem,3000,5,False
tfim,dev_algiers,zne_rem,3000,6,False
tfim,dev_algiers,zne_rem,3000,7,False
tfim,dev_algiers,zne_rem,3000,8,False
tfim,dev_algiers,zne_rem,3000,9,False
tfim,dev_algiers,zne_rem,6000,0,False
tfim,dev_algiers,zne_rem,6000,1,False
tfim,dev_algiers,zne_rem,6000,2,False
tfim,dev_algiers,zne_rem,6000,3,False
tfim,dev_algiers,zne_rem,6000,4,False
tfim,dev_algiers,zne_rem,6000,5,False
tfim,dev_algiers,zne_rem,6000,6,False
tfim,dev_algiers,zne_rem,6000,7,False
tfim,dev_algiers,zne_rem,6000,8,False
tfim,dev_algiers,zne_rem,6000,9,False
tfim,dev_algiers,zne_rem,12000,0,False
tfim,dev_algiers,zne_rem,12000,1,False
tfim,dev_algiers,zne_rem,12000,2,False
tfim,dev_algiers,zne_rem,12000,3,False
tfim,dev_algiers,zne_rem,12000,4,False
tfim,dev_algiers,zne_rem,12000,5,False
tfim,dev_algiers,zne_rem,12000,6,False
tfim,dev_algiers,zne_rem,12000,7,False
tfim,param_lam0.5,none,1500,0,False
tfim,param_lam0.5,none,1500,1,False
tfim,param_lam0.5,none,1500,2,False
tfim,param_lam0.5,none,1500,3,False
tfim,param_lam0.5,none,1500,4,False
tfim,param_lam0.5,none,1500,5,False
tfim,param_lam0.5,none,1500,6,False
tfim,param_lam0.5,none,1500,7,False
tfim,param_lam0.5,none,1500,8,False
tfim,param_lam0.5,none,1500,9,False
tfim,param_lam0.5,none,3000,0,False
tfim,param_lam0.5,none,3000,1,False
tfim,dev_algiers,zne_rem,12000,8,False
tfim,dev_algiers,zne_rem,12000,9,False
tfim,dev_algiers,zne_rem,24000,0,False
tfim,dev_algiers,zne_rem,24000,1,False
tfim,param_lam0.5,none,3000,2,False
tfim,param_lam0.5,none,3000,3,False
tfim,param_lam0.5,none,3000,4,False
tfim,param_lam0.5,none,3000,5,False
tfim,param_lam0.5,none,3000,6,False
tfim,param_lam0.5,none,3000,7,False
tfim,param_lam0.5,none,3000,8,False
tfim,param_lam0.5,none,3000,9,False
tfim,param_lam0.5,none,6000,4,False
tfim,param_lam0.5,none,6000,5,False
tfim,param_lam0.5,none,6000,6,False
tfim,param_lam0.5,none,6000,7,False
tfim,param_lam0.5,none,6000,0,False
tfim,param_lam0.5,none,6000,1,False
tfim,param_lam0.5,none,6000,2,False
tfim,param_lam0.5,none,6000,3,False
tfim,param_lam0.5,none,6000,8,False
tfim,param_lam0.5,none,6000,9,False
tfim,param_lam0.5,none,12000,0,False
tfim,param_lam0.5,none,12000,1,False
tfim,param_lam0.5,none,12000,2,False
tfim,param_lam0.5,none,12000,3,False
tfim,param_lam0.5,none,12000,4,False
tfim,param_lam0.5,none,12000,5,False
tfim,dev_algiers,zne_rem,24000,2,False
tfim,dev_algiers,zne_rem,24000,3,False
tfim,dev_algiers,zne_rem,24000,4,False
tfim,dev_algiers,zne_rem,24000,5,False
tfim,param_lam0.5,none,12000,6,False
tfim,param_lam0.5,none,12000,7,False
tfim,param_lam0.5,none,12000,8,False
tfim,param_lam0.5,none,12000,9,False
tfim,param_lam0.5,none,24000,0,False
tfim,param_lam0.5,none,24000,1,False
tfim,param_lam0.5,none,24000,2,False
tfim,param_lam0.5,none,24000,3,False
tfim,param_lam0.5,none,24000,4,False
tfim,param_lam0.5,none,24000,5,False
tfim,param_lam0.5,none,24000,6,False
tfim,param_lam0.5,none,24000,7,False
tfim,param_lam0.5,none,24000,8,False
tfim,param_lam0.5,none,24000,9,False
tfim,param_lam0.5,zne,1500,0,False
tfim,param_lam0.5,zne,1500,1,False
tfim,param_lam0.5,zne,1500,2,False
tfim,param_lam0.5,zne,1500,3,False
tfim,param_lam0.5,zne,1500,4,False
tfim,param_lam0.5,zne,1500,5,False
tfim,param_lam0.5,zne,1500,6,False
tfim,param_lam0.5,zne,1500,7,False
tfim,param_lam0.5,zne,1500,8,False
tfim,param_lam0.5,zne,1500,9,False
tfim,param_lam0.5,zne,3000,0,False
tfim,param_lam0.5,zne,3000,1,False
tfim,param_lam0.5,zne,3000,2,False
tfim,param_lam0.5,zne,3000,3,False
tfim,param_lam0.5,zne,3000,4,False
tfim,param_lam0.5,zne,3000,5,False
tfim,param_lam0.5,zne,3000,6,False
tfim,param_lam0.5,zne,3000,7,False
tfim,dev_algiers,zne_rem,24000,6,False
tfim,dev_algiers,zne_rem,24000,7,False
tfim,dev_algiers,zne_rem,24000,8,False
tfim,dev_algiers,zne_rem,24000,9,False
tfim,param_lam0.5,zne,3000,8,False
tfim,param_lam0.5,zne,3000,9,False
tfim,param_lam0.5,zne,6000,0,False
tfim,param_lam0.5,zne,6000,1,False
tfim,param_lam0.5,zne,6000,2,False
tfim,param_lam0.5,zne,6000,3,False
tfim,param_lam0.5,zne,6000,4,False
tfim,param_lam0.5,zne,6000,5,False
tfim,param_lam0.5,zne,6000,6,False
tfim,param_lam0.5,zne,6000,7,False
